,State,year,BurnBndAc
233,Oregon,1991,22108
71,Colorado,1988,21721
156,Montana,2019,20885
146,Montana,2009,20723
89,Colorado,2014,20338
239,Oregon,1999,20059
220,New Mexico,2014,19080
221,New Mexico,2015,18848
328,Wyoming,1991,18825
75,Colorado,1998,18218
162,Nevada,1989,17297
93,Colorado,2019,17263
2,Arizona,1987,16758
80,Colorado,2004,15977
175,Nevada,2002,15830
128,Montana,1985,15660
0,Arizona,1985,14424
293,Washington,1986,14398
261,Utah,1985,14032
85,Colorado,2010,13959
73,Colorado,1994,13234
82,Colorado,2006,13126
84,Colorado,2009,12939
163,Nevada,1990,11666
300,Washington,1993,11414
81,Colorado,2005,11023
339,Wyoming,2009,10738
266,Utah,1990,10357
11,Arizona,1997,10091
344,Wyoming,2015,9845
133,Montana,1993,9793
193,New Mexico,1987,9406
151,Montana,2014,9222
106,Idaho,1997,9197
197,New Mexico,1991,9184
316,Washington,2011,8984
244,Oregon,2004,8173
132,Montana,1992,7985
78,Colorado,2001,7375
187,Nevada,2015,6508
326,Wyoming,1985,6450
303,Washington,1997,6418
164,Nevada,1991,6273
76,Colorado,1999,6030
182,Nevada,2010,5626
6,Arizona,1991,5590
296,Washington,1989,5442
286,Utah,2014,5373
280,Utah,2008,5178
